Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Delta Time (s)	Begin File	subtipos	subc
130	Spectrogram 1	1	279.285461556	279.317755432	62153.4	69547.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0323	742-B5-A30_0001.flac	4	
131	Spectrogram 1	1	284.938371785	284.961184890	72088.7	86876.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0228	742-B5-A30_0001.flac	4	
132	Spectrogram 1	1	287.973107629	287.990587800	73012.9	88031.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0175	742-B5-A30_0001.flac	4	
133	Spectrogram 1	1	290.548914866	290.637797092	61691.3	84565.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0889	742-B5-A30_0001.flac	6	6
134	Spectrogram 1	1	290.631279062	290.666831953	47597.0	56377.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0356	742-B5-A30_0001.flac	4	6
135	Spectrogram 1	1	291.709716878	291.754157991	55221.8	66543.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0444	742-B5-A30_0001.flac	4	
136	Spectrogram 1	1	291.926885830	291.953550498	57532.3	64926.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0267	742-B5-A30_0001.flac	4	
137	Spectrogram 1	1	292.177237434	292.184940560	75785.6	81330.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0077	742-B5-A30_0001.flac	4	
138	Spectrogram 1	1	292.215456791	292.237677347	76478.7	90342.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0222	742-B5-A30_0001.flac	4	
139	Spectrogram 1	1	295.432401017	295.452547655	56839.2	78096.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0201	742-B5-A30_0001.flac	6	6
140	Spectrogram 1	1	295.429142002	295.436252581	42513.9	48983.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0071	742-B5-A30_0001.flac	4	6
141	Spectrogram 1	1	295.279819862	295.351814466	42976.0	103281.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0720	742-B5-A30_0001.flac	6	
142	Spectrogram 1	1	299.579942471	299.634160629	59149.7	83179.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0542	742-B5-A30_0001.flac	6	
143	Spectrogram 1	1	300.033834419	300.083015917	61922.4	84565.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0492	742-B5-A30_0001.flac	6	
144	Spectrogram 1	1	301.266631034	301.280555916	27957.5	41820.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0139	742-B5-A30_0001.flac	4	
145	Spectrogram 1	1	303.500834202	303.534016900	58456.6	85720.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0332	742-B5-A30_0001.flac	6	
146	Spectrogram 1	1	305.658302381	305.693262724	63770.8	82948.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0350	742-B5-A30_0001.flac	4	
147	Spectrogram 1	1	306.233370431	306.287292315	64001.8	83410.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0539	742-B5-A30_0001.flac	6	
148	Spectrogram 1	1	306.358990690	306.397210047	51756.0	82024.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0382	742-B5-A30_0001.flac	6	
149	Spectrogram 1	1	312.125373713	312.140187418	65388.2	82486.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0148	742-B5-A30_0001.flac	6	
150	Spectrogram 1	1	313.682590500	313.720513583	64232.9	85951.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0379	742-B5-A30_0001.flac	6	
