Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
121	Spectrogram 1	1	111.206276686	111.237060686	69220.4	86245.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
122	Spectrogram 1	1	111.205444686	111.218479353	56675.6	63844.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
123	Spectrogram 1	1	111.607578202	111.623663535	56003.6	62052.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
124	Spectrogram 1	1	129.011363140	129.044643140	60931.9	67428.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
125	Spectrogram 1	1	129.051021806	129.059896473	63620.1	69444.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
126	Spectrogram 1	1	130.224697204	130.259086537	64292.1	74820.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
127	Spectrogram 1	1	130.456270536	130.485667869	63396.1	74596.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
128	Spectrogram 1	1	130.573582719	130.585785386	67204.3	77060.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
129	Spectrogram 1	1	130.781582718	130.836494718	64964.2	73252.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
130	Spectrogram 1	1	137.415399098	137.437031098	60483.9	73476.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
131	Spectrogram 1	1	137.425383098	137.438140431	82661.3	92069.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
132	Spectrogram 1	1	139.764413289	139.809895955	59587.8	70116.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
133	Spectrogram 1	1	139.794642622	139.813501289	85797.5	90501.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
134	Spectrogram 1	1	141.889341963	141.935933963	49283.2	55331.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	1
135	Spectrogram 1	1	142.396307478	142.416830145	60035.8	66532.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
136	Spectrogram 1	1	142.412670145	142.420158145	80869.2	86693.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
137	Spectrogram 1	1	142.646184575	142.740755241	55779.6	68548.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
138	Spectrogram 1	1	142.915475424	142.952638091	63396.1	74372.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
139	Spectrogram 1	1	142.947368757	142.955966091	90725.8	98790.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
